classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (micrometers squared),Cellular surface area (micrometers squared),Radial proximity (unitless),Apical proximity (unitless)
Beta actin,AICS-16_29_2,17.96472,48.29652,40.9942176,104.929944,0.9601876,-0.3882957
Beta actin,AICS-16_29_3,19.94868,56.44296,44.35417344,116.1774432,0.8735907,-0.931287
Beta actin,AICS-16_29_4,14.79168,68.5314,58.05616452,111.5413127,0.6419825,-0.1307372
Beta actin,AICS-16_29_5,18.44748,48.3192,41.09761572,106.2211692,0.9071435,-0.8936393
Beta actin,AICS-16_29_7,21.12156,44.05428,47.30203836,102.9433568,0.9744151,-0.8033045
Beta actin,AICS-16_30_1,12.9762,37.19412,31.84630668,83.2490472,0.9451569,-0.8535131
Beta actin,AICS-16_30_2,25.13592,57.6936,48.6959982,117.06639,0.8352902,-0.7759548
Beta actin,AICS-16_30_4,17.5392,40.16952,38.89644516,97.27353612,0.9347928,-0.8770444
Beta actin,AICS-16_30_5,10.9944,41.85864,29.56255032,85.5604602,0.6618808,-0.3202171
Beta actin,AICS-16_30_7,27.09504,64.908,54.57764364,138.5263596,0.8597731,-0.7938077
Beta actin,AICS-16_30_8,16.794,47.96712,36.91592244,102.6242928,0.8621473,-0.8127435
Beta actin,AICS-16_30_10,23.84964,54.33048,48.02088984,108.4694352,0.8762185,-0.8385345
Beta actin,AICS-16_31_1,17.52192,38.24172,40.44904656,80.37770364,0.8337436,-0.7403389
Beta actin,AICS-16_31_2,14.82516,35.127,36.57556884,85.8437778,0.8874623,-0.6939076
Beta actin,AICS-16_31_3,20.75328,55.76256,44.69246676,111.8383888,0.9525501,-0.4801953
